study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
7,60,No,98,Fail
15,77,Yes,41,Fail
11,74,Yes,54,Fail
8,99,No,81,Fail
7,72,No,82,Fail
19,80,Yes,52,Pass
11,79,Yes,45,Fail
11,91,No,86,Pass
4,84,No,68,Fail
8,56,No,82,Fail
3,65,No,71,Fail
2,75,No,87,Fail
12,97,Yes,68,Pass
6,98,No,43,Fail
2,51,Yes,34,Fail
1,50,Yes,64,Fail
12,97,Yes,47,Fail
12,61,No,38,Fail
17,54,Yes,87,Fail
10,86,Yes,46,Fail
16,81,No,36,Fail
15,58,Yes,75,Fail
15,90,Yes,42,Fail
19,84,No,69,Pass
12,68,Yes,71,Fail
3,97,Yes,38,Fail
5,65,Yes,79,Fail
19,52,No,56,Fail
7,69,No,95,Fail
9,73,No,34,Fail
7,82,Yes,58,Fail
18,73,Yes,66,Fail
4,60,No,67,Fail
14,98,Yes,37,Fail
18,57,Yes,94,Fail
9,85,No,46,Fail
2,87,No,74,Fail
15,89,Yes,33,Fail
7,69,Yes,65,Fail
12,84,Yes,99,Pass
8,97,No,60,Fail
15,74,No,48,Fail
3,84,No,90,Fail
14,74,No,83,Fail
17,78,Yes,68,Pass
4,67,No,48,Fail
18,95,No,68,Pass
8,67,No,96,Fail
4,51,No,74,Fail
2,84,No,42,Fail
6,65,Yes,87,Fail
10,90,Yes,49,Fail
4,85,No,90,Fail
18,82,Yes,68,Pass
12,53,No,30,Fail
2,82,No,32,Fail
10,63,Yes,91,Fail
4,70,Yes,92,Fail
14,97,No,54,Pass
16,69,No,85,Fail
15,57,No,62,Fail
8,56,Yes,67,Fail
14,52,No,35,Fail
8,66,No,87,Fail
16,82,No,73,Pass
13,97,Yes,74,Pass
18,61,No,61,Fail
15,71,No,74,Fail
13,71,Yes,90,Fail
9,95,No,76,Fail
15,79,No,50,Fail
13,87,Yes,65,Pass
1,87,No,48,Fail
7,94,Yes,49,Fail
9,57,Yes,86,Fail
1,76,No,47,Fail
12,76,No,76,Pass
8,83,No,78,Fail
11,70,No,43,Fail
19,79,Yes,44,Fail
17,82,No,60,Pass
8,77,Yes,30,Fail
3,96,No,83,Fail
3,82,No,32,Fail
1,54,No,45,Fail
5,97,Yes,86,Fail
10,68,No,41,Fail
7,53,No,45,Fail
9,84,No,53,Fail
7,98,No,57,Fail
9,66,Yes,37,Fail
8,93,No,65,Fail
12,77,Yes,37,Fail
2,79,Yes,87,Fail
1,78,Yes,89,Fail
16,95,Yes,79,Pass
5,55,Yes,57,Fail
3,84,Yes,70,Fail
12,90,No,93,Pass
8,86,Yes,56,Fail
3,73,Yes,92,Fail
1,78,Yes,46,Fail
3,98,No,62,Fail
5,95,No,58,Fail
15,80,Yes,42,Fail
14,84,No,75,Pass
3,82,Yes,64,Fail
1,70,Yes,35,Fail
5,81,No,98,Fail
14,72,Yes,76,Fail
7,82,No,54,Fail
9,52,No,95,Fail
15,67,Yes,39,Fail
15,74,Yes,85,Fail
10,91,No,59,Fail
13,80,Yes,34,Fail
19,52,Yes,62,Fail
7,89,Yes,94,Fail
17,95,No,47,Fail
4,73,No,78,Fail
5,99,Yes,40,Fail
7,81,No,55,Fail
13,96,No,92,Pass
15,71,No,88,Fail
11,72,No,56,Fail
4,51,No,78,Fail
13,76,Yes,62,Pass
7,91,Yes,30,Fail
19,51,Yes,50,Fail
2,75,No,84,Fail
10,66,No,35,Fail
13,89,Yes,98,Pass
6,82,No,34,Fail
12,58,Yes,32,Fail
12,92,Yes,82,Pass
11,97,Yes,52,Pass
7,88,No,82,Fail
1,78,No,66,Fail
1,91,Yes,46,Fail
13,75,Yes,30,Fail
9,84,Yes,80,Fail
3,99,Yes,74,Fail
7,74,No,33,Fail
6,73,No,91,Fail
8,62,Yes,94,Fail
9,56,Yes,61,Fail
5,85,No,63,Fail
1,94,No,68,Fail
19,69,Yes,55,Fail
10,50,Yes,63,Fail
12,57,Yes,83,Fail
15,95,No,32,Fail
9,65,No,79,Fail
17,63,No,41,Fail
17,61,Yes,94,Fail
12,72,Yes,83,Fail
7,64,No,34,Fail
2,77,No,86,Fail
3,83,Yes,46,Fail
17,51,No,76,Fail
5,81,No,52,Fail
17,72,Yes,43,Fail
17,71,No,95,Fail
17,74,Yes,80,Fail
2,71,Yes,67,Fail
2,71,Yes,93,Fail
5,98,Yes,67,Fail
1,91,Yes,79,Fail
1,55,Yes,59,Fail
19,64,Yes,80,Fail
2,92,No,92,Fail
12,86,Yes,81,Pass
6,82,Yes,67,Fail
4,57,No,59,Fail
11,93,No,80,Pass
17,93,No,34,Fail
6,54,Yes,58,Fail
5,88,No,33,Fail
2,53,Yes,39,Fail
6,55,Yes,85,Fail
11,94,Yes,46,Fail
16,81,Yes,46,Fail
16,79,No,98,Pass
1,96,No,63,Fail
9,84,Yes,35,Fail
6,89,Yes,82,Fail
16,65,Yes,95,Fail
3,62,No,72,Fail
4,99,Yes,52,Fail
19,91,Yes,84,Pass
3,79,No,45,Fail
19,68,No,37,Fail
7,66,Yes,33,Fail
9,68,No,33,Fail
1,77,No,85,Fail
8,75,Yes,54,Fail
7,86,No,96,Fail
18,75,Yes,96,Fail
8,72,No,56,Fail
1,58,Yes,61,Fail
